Land Use,Region,Subzone,Planning Area,Geometry-Land Use,Geometry-Region,Geometry-Subzone,Geometry-Planning Area
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,SAUJANA,BUKIT PANJANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,SAUJANA,BUKIT PANJANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,SAUJANA,BUKIT PANJANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,SAUJANA,BUKIT PANJANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,SAUJANA,BUKIT PANJANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PORT,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,EAST REGION,XILIN,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PORT,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,SAUJANA,BUKIT PANJANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,EAST REGION,XILIN,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,SAUJANA,BUKIT PANJANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,SAUJANA,BUKIT PANJANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,SAUJANA,BUKIT PANJANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,SAUJANA,BUKIT PANJANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,SAUJANA,BUKIT PANJANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
SPORTS & RECREATION,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,EAST REGION,XILIN,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
SPORTS & RECREATION,CENTRAL REGION,PORT,QUEENSTOWN,MultiPolygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,EAST REGION,XILIN,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,EAST REGION,XILIN,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
ROAD,EAST REGION,XILIN,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,EAST REGION,XILIN,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
WATERBODY,CENTRAL REGION,PORT,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,PASIR PANJANG 1,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
WATERBODY,CENTRAL REGION,PORT,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,EAST REGION,XILIN,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,EAST REGION,XILIN,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,GEYLANG EAST,GEYLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
WATERBODY,CENTRAL REGION,PORT,QUEENSTOWN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HILLCREST,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SEMBAWANG HILLS,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
PLACE OF WORSHIP,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
