Town name,BTO name,Project type,Launch date,Estimated completion date,Type,Total,Full brochure,Launch brochure,Notes & Errata
Bukit Batok,Bukit Gombak Vista,HS-BTO,22 Jan 2014,4Q 2017,non-m,286,"<a href=""/hdb-brochures/bto-2014-01/BukitGombakVista.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-01/BukitGombakVista_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-01/BukitGombakVista_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Jurong West,Golden Lavender,HS-BTO,22 Jan 2014,3Q 2017,non-m,149,"<a href=""/hdb-brochures/bto-2014-01/GoldenLavender.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-01/GoldenLavender_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-01/GoldenLavender_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Punggol Bayview,HS-BTO,22 Jan 2014,1Q 2018 - 4Q 2018,non-m,1096,"<a href=""/hdb-brochures/bto-2014-01/PunggolBayView.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-01/PunggolBayView_PunggolVue_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-01/PunggolBayView_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Punggol Vue,HS-BTO,22 Jan 2014,4Q 2017,non-m,570,"<a href=""/hdb-brochures/bto-2014-01/PunggolVue.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-01/PunggolBayView_PunggolVue_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-01/PunggolVue_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Woodlands,Woodlands Glen,HS-BTO,22 Jan 2014,2Q 2017,non-m,888,"<a href=""/hdb-brochures/bto-2014-01/WoodlandsGlen.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-01/WoodlandsGlen_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-01/WoodlandsGlen_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Serangoon,Golden Ginger,HS-BTO,22 Jan 2014,3Q 2017,non-m,150,"<a href=""/hdb-brochures/bto-2014-01/GoldenGinger.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-01/GoldenGinger_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-01/GoldenGinger_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Woodlands,Admiralty Grove,HS-BTO,26 Nov 2013,3Q 2017,non-m,993,"<a href=""/hdb-brochures/bto-2013-11/AdmiraltyGrove.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-11/AdmiraltyGrove_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-11/AdmiraltyGrove_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Jurong West,Boon Lay View,HS-BTO,26 Nov 2013,2Q 2017,non-m,810,"<a href=""/hdb-brochures/bto-2013-11/BoonLayView.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-11/BoonLayView_YungKuangCourt_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-11/BoonLayView_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Jurong West,Yung Kuang Court,HS-BTO,26 Nov 2013,3Q 2017,non-m,528,"<a href=""/hdb-brochures/bto-2013-11/YungKuangCourt.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-11/BoonLayView_YungKuangCourt_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-11/YungKuangCourt_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sembawang,EastLawn @ Canberra,HS-BTO,26 Nov 2013,2Q 2017,non-m,337,"<a href=""/hdb-brochures/bto-2013-11/EastLawn@Canberra.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-11/EastLawn@Canberra_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-11/EastLawn@Canberra_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Hougang,Hougang Meadow,HS-BTO,26 Nov 2013,1Q 2017,non-m,732,"<a href=""/hdb-brochures/bto-2013-11/HougangMeadow.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-11/HougangMeadow_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-11/HougangMeadow_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Batok,West Ridges @ Bukit Batok,HS-BTO,26 Nov 2013,1Q 2018,non-m,1578,"<a href=""/hdb-brochures/bto-2013-11/WestRidges@BukitBatok.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-11/WestRidges@BukitBatok_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-11/WestRidges@BukitBatok_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Matilda Edge,HS-BTO,26 Sep 2013,4Q 2017,non-m,1330,"<a href=""/hdb-brochures/bto-2013-09/Matilda_Edge.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-09/MatildaEdge_TheVerandah@Matilda_WaterwayView_General_Info.pdf"" target=""blank"" rel=""noopener noreferrer"">info</a> <a href=""/hdb-brochures/bto-launch-2013-09/MatildaEdge_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,The Verandah @ Matilda,HS-BTO,26 Sep 2013,1Q 2017,non-m,481,"<a href=""/hdb-brochures/bto-2013-09/TheVerandah@Matilda.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-09/MatildaEdge_TheVerandah@Matilda_WaterwayView_General_Info.pdf"" target=""blank"" rel=""noopener noreferrer"">info</a> <a href=""/hdb-brochures/bto-launch-2013-09/TheVerandah@Matilda_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Waterway View,HS-BTO,26 Sep 2013,3Q 2017,non-m,1057,"<a href=""/hdb-brochures/bto-2013-09/Waterway_View.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-09/MatildaEdge_TheVerandah@Matilda_WaterwayView_General_Info.pdf"" target=""blank"" rel=""noopener noreferrer"">info</a> <a href=""/hdb-brochures/bto-launch-2013-09/WaterwayView_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Khatib Court,HS-BTO,26 Sep 2013,2Q 2017,non-m,310,"<a href=""/hdb-brochures/bto-2013-09/Khatib_Court.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-09/KhatibCourt_PalmBreeze@Yishun_SaracaBreeze@Yishun_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-09/KhatibCourt_Maps&amp;Plans.pdf"" target=""blank"" rel=""noopener noreferrer"">plans</a>",
Yishun,Palm Breeze @ Yishun,HS-BTO,26 Sep 2013,4Q 2016,non-m,546,"<a href=""/hdb-brochures/bto-2013-09/Palm_Breeze@Yishun.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-09/KhatibCourt_PalmBreeze@Yishun_SaracaBreeze@Yishun_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-09/PalmBreeze@Yishun_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Saraca Breeze @ Yishun,HS-BTO,26 Sep 2013,1Q 2017,non-m,516,"<a href=""/hdb-brochures/bto-2013-09/Saraca_Breeze@Yishun.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-09/KhatibCourt_PalmBreeze@Yishun_SaracaBreeze@Yishun_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-09/SaracaBreeze@Yishun_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Angsana Breeze @ Yishun,HS-BTO,30 Jul 2013,1Q 2017,non-m,958,"<a href=""/hdb-brochures/bto-2013-07/AngsanaBreeze@Yishun.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-07/AngsanaBreeze_VineGrove@Yishun_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-07/Angsana_Breeze_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Vine Grove @ Yishun,HS-BTO,30 Jul 2013,4Q 2016,non-m,696,"<a href=""/hdb-brochures/bto-2013-07/Vine_Grove@Yishun.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-07/AngsanaBreeze_VineGrove@Yishun_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-07/Vine_Grove@Yishun_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Fernvale Riverwalk,HS-BTO,30 Jul 2013,2Q 2017,non-m,727,"<a href=""/hdb-brochures/bto-2013-07/Fernvale_Riverwalk.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-07/Fernvale_Riverwalk_General_Info.pdf"" target=""blank"">info</a>",
Bukit Merah,Telok Blangah ParcView,HS-BTO,30 Jul 2013,4Q 2017,mature,1480,"<a href=""/hdb-brochures/bto-2013-07/Telok_Blangah_ParcView.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-07/Telok_Blangah_ParcView_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-07/Telok_Blangah_ParcView_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sembawang,EastBank @ Canberra,HS-BTO,30 May 2013,4Q 2016,non-m,372,"<a href=""/hdb-brochures/bto-2013-05/EastBank@Canberra.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-05/EastBank_EastBrook_EastWave@Canberra_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-05/EastBank@Canberra_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sembawang,EastBrook @ Canberra,HS-BTO,30 May 2013,2Q 2017,non-m,1030,"<a href=""/hdb-brochures/bto-2013-05/EastBrook@Canberra.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-05/EastBank_EastBrook_EastWave@Canberra_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-05/EastBrook@Canberra_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sembawang,EastWave @ Canberra,HS-BTO,30 May 2013,2Q 2017,non-m,714,"<a href=""/hdb-brochures/bto-2013-05/EastWave@Canberra.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-05/EastBank_EastBrook_EastWave@Canberra_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-05/EastWave@Canberra_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Hougang,Golden Mint,HS-BTO,30 May 2013,4Q 2016,non-m,292,"<a href=""/hdb-brochures/bto-2013-05/Golden_Mint.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-05/GoldenMint_HougangCrimson_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-05/Golden_Mint_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Hougang,Hougang Crimson,HS-BTO,30 May 2013,4Q 2016,non-m,314,"<a href=""/hdb-brochures/bto-2013-05/Hougang_Crimson.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-05/GoldenMint_HougangCrimson_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-05/Hougang_Crimson_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Choa Chu Kang,Keat Hong Crest,HS-BTO,30 May 2013,1Q 2017,non-m,682,"<a href=""/hdb-brochures/bto-2013-05/Keat_Hong_Crest.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-05/Keat_Hong_Crest_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-05/Keat_Hong_Crest_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Jurong West,Spring Haven @ Jurong,HS-BTO,30 May 2013,1Q 2017,non-m,478,"<a href=""/hdb-brochures/bto-2013-05/Spring_Haven@Jurong.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-05/Spring_Haven@Jurong_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-05/Spring_Haven@Jurong_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Woodlands,Woodlands Pasture I,HS-BTO,30 May 2013,2Q 2017,non-m,1018,"<a href=""/hdb-brochures/bto-2013-05/Woodlands_Pasture_I_II.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-05/Woodlands_Pasture_I_II_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-05/Woodlands_Pasture_I_II_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Woodlands,Woodlands Pasture II,HS-BTO,30 May 2013,2Q 2017,non-m,1018,"<a href=""/hdb-brochures/bto-2013-05/Woodlands_Pasture_I_II.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-05/Woodlands_Pasture_I_II_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-05/Woodlands_Pasture_I_II_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Compassvale Cape,HS-BTO,21 Mar 2013,4Q 2016,non-m,1392,,"<a href=""/hdb-brochures/bto-launch-2013-03/Compassvale_Cape_Compassvale_Helm_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-03/Compassvale_Cape_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Compassvale Helm,HS-BTO,21 Mar 2013,4Q 2016,non-m,598,,"<a href=""/hdb-brochures/bto-launch-2013-03/Compassvale_Cape_Compassvale_Helm_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-03/Compassvale_Helm_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Matilda Portico,HS-BTO,21 Mar 2013,2Q 2016,non-m,470,,"<a href=""/hdb-brochures/bto-launch-2013-03/Matilda_Portico_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-03/Matilda_Portico_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Batok,SkyPeak @ Bukit Batok,HS-BTO,21 Mar 2013,4Q 2017,non-m,1430,,"<a href=""/hdb-brochures/bto-launch-2013-03/SkyPeak_@_Bukit_Batok_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-03/SkyPeak_@_Bukit_Batok_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Hougang,Hougang ParkEdge,HS-BTO,29 Jan 2013,2Q 2016,non-m,578,"<a href=""/hdb-brochures/bto-2013-01/Hougang_ParkEdge.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-01/Hougang_ParkEdge_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-01/Hougang_ParkEdge_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Choa Chu Kang,Keat Hong Colours,HS-BTO,29 Jan 2013,4Q 2016,non-m,968,"<a href=""/hdb-brochures/bto-2013-01/Keat_Hong_Colours.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-01/Keat_Hong_Colours_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-01/Keat_Hong_Colours_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Oleander Breeze @ Yishun,HS-BTO,29 Jan 2013,3Q 2016,non-m,688,"<a href=""/hdb-brochures/bto-2013-01/Oleander_Breeze_Yishun.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-01/Oleander_Breeze_Yishun_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-01/Oleander_Breeze_Yishun_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Ang Mo Kio,Kebun Baru Court,HS-BTO,29 Jan 2013,2Q 2017,mature,283,"<a href=""/hdb-brochures/bto-2013-01/Kebun_Baru_Court.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-01/Kebun_Baru_Court_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-01/Kebun_Baru_Court_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Tampines,Tampines GreenForest,HS-BTO,29 Jan 2013,2Q 2016,mature,424,"<a href=""/hdb-brochures/bto-2013-01/Tampines_GreenForest.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-01/Tampines_GreenForest_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-01/Tampines_GreenForest_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Kallang/Whampoa,Whampoa Dew,HS-BTO,29 Jan 2013,2Q 2017,mature,405,"<a href=""/hdb-brochures/bto-2013-01/Whampoa_Dew.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2013-01/Whampoa_Dew_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2013-01/Whampoa_Dew_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Choa Chu Kang,Keat Kong Mirage,HS-BTO,21 Nov 2012,3Q 2016,non-m,1159,"<a href=""/hdb-brochures/bto-2012-11/Keat_Hong_Mirage.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2012-11/Keat_Hong_Mirage_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-11/Keat_Hong_Mirage_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Compassvale Mast,HS-BTO,21 Nov 2012,2Q 2016,non-m,928,"<a href=""/hdb-brochures/bto-2012-11/Compassvale_Mast.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2012-11/CompassvaleMast_RivervaleDelta_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-11/Compassvale_Mast_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Rivervale Delta,HS-BTO,21 Nov 2012,2Q 2016,non-m,884,"<a href=""/hdb-brochures/bto-2012-11/Rivervale_Delta.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2012-11/CompassvaleMast_RivervaleDelta_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-11/Rivervale_Delta_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bedok,Fengshan GreenVille,HS-BTO,21 Nov 2012,4Q 2017 - 4Q 2018,mature,1058,"<a href=""/hdb-brochures/bto-2012-11/Fengshan_GreenVille.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2012-11/Fengshan_GreenVille_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-11/Fengshan_GreenVille_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Queenstown,Ghim Moh Edge,HS-BTO,21 Nov 2012,2Q 2017,mature,1179,"<a href=""/hdb-brochures/bto-2012-11/Ghim_Moh_Edge.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2012-11/Ghim_Moh_Edge_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-11/Ghim_Moh_Edge_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Toa Payoh,Joo Seng Green,HS-BTO,21 Nov 2012,1Q 2016,mature,248,"<a href=""/hdb-brochures/bto-2012-11/Joo_Seng_Green.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2012-11/JooSengGreen_ToaPayohCrest_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-11/Joo_Seng_Green_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Toa Payoh,Toa Payoh Crest,HS-BTO,21 Nov 2012,3Q 2017,mature,1007,"<a href=""/hdb-brochures/bto-2012-11/Toa_Payoh_Crest.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2012-11/JooSengGreen_ToaPayohCrest_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-11/Toa_Payoh_Crest_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Choa Chu Kang,Keat Hong Quad,HS-BTO,27 Sep 2012,1Q 2016,non-m,524,,"<a href=""/hdb-brochures/bto-launch-2012-09/Keat_Hong_Quad_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-09/Keat_Hong_Quad_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Woodlands,TreeTrail @ Woodlands,HS-BTO,27 Sep 2012,2Q 2016,non-m,652,,"<a href=""/hdb-brochures/bto-launch-2012-09/TreeTrail@Woodlands_GoldenSaffron_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-09/TreeTrail@Woodlands_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Woodlands,Golden Saffron,HS-BTO,27 Sep 2012,2Q 2015,non-m,128,,,
Ang Mo Kio,Cheng San Court,HS-BTO,27 Sep 2012,1Q 2018,mature,712,,"<a href=""/hdb-brochures/bto-launch-2012-09/ChengSanCourt_TeckGheeParkview_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-09/Cheng_San_Court_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Ang Mo Kio,Teck Ghee Parkview,HS-BTO,27 Sep 2012,1Q 2017,mature,576,,"<a href=""/hdb-brochures/bto-launch-2012-09/ChengSanCourt_TeckGheeParkview_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-09/Teck_Ghee_Parkview_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Tampines,Tampines Greenlace,HS-BTO,27 Sep 2012,1Q 2016,mature,380,,"<a href=""/hdb-brochures/bto-launch-2012-09/Tampines_GreenLace_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-09/Tampines_GreenLace_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Kallang/Whampoa,Tenteram Peak,HS-BTO,27 Sep 2012,4Q 2016,mature,755,,"<a href=""/hdb-brochures/bto-launch-2012-09/Tenteram_Peak_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-09/Tenteram_Peak_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Choa Chu Kang,Keat Hong Axis,HS-BTO,31 Jul 2012,1Q 2016,non-m,1130,,"<a href=""/hdb-brochures/bto-launch-2012-07/Keat_Hong_Axis_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-07/Keat_Hong_Axis_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Punggol Opal,HS-BTO,31 Jul 2012,4Q 2015,non-m,526,,"<a href=""/hdb-brochures/bto-launch-2012-07/PunggolOpal_WaterwayCascadia_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-07/Punggol_Opal_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Waterway Cascadia,HS-BTO,31 Jul 2012,3Q 2016,non-m,1009,,"<a href=""/hdb-brochures/bto-launch-2012-07/PunggolOpal_WaterwayCascadia_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-07/Waterway_Cascadia_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Clementi,Clementi Gateway,HS-BTO,31 Jul 2012,3Q 2016,mature,278,,"<a href=""/hdb-brochures/bto-launch-2012-07/Clementi_Gateway_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-07/Clementi_Gateway_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Merah,Depot Heights,HS-BTO,31 Jul 2012,3Q 2016,mature,418,,"<a href=""/hdb-brochures/bto-launch-2012-07/DepotHeights_TelokBlangahRidgeview_General_Info.pdf"" target=""blank"" rel=""noopener noreferrer"">info</a> <a href=""/hdb-brochures/bto-launch-2012-07/Depot_Heights_Maps&amp;Plans.pdf"" target=""blank"" rel=""noopener noreferrer"">plans</a>",
Bukit Merah,Telok Blangah Ridgeview,HS-BTO,31 Jul 2012,1Q 2016,mature,492,,"<a href=""/hdb-brochures/bto-launch-2012-07/DepotHeights_TelokBlangahRidgeview_General_Info.pdf"" target=""blank"" rel=""noopener noreferrer"">info</a> <a href=""/hdb-brochures/bto-launch-2012-07/Telok_Blangah_Ridgeview_Maps&Plans.pdf"" target=""blank"" rel=""noopener noreferrer"">plans</a>",
Geylang,Greentops @ Sims Place,HS-BTO,31 Jul 2012,4Q 2015,mature,338,,"<a href=""/hdb-brochures/bto-launch-2012-07/GreenTops_Sims_Place_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-07/GreenTops_Sims_Place_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Compassvale Boardwalk,HS-BTO,30 May 2012,4Q 2015,non-m,474,,"<a href=""/hdb-brochures/bto-launch-2012-05/Compassvale_Boardwalk_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-05/Compassvale_Boardwalk_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Choa Chu Kang,Keat Hong Pride,HS-BTO,30 May 2012,2Q 2016,non-m,1143,,"<a href=""/hdb-brochures/bto-launch-2012-05/Keat_Hong_Pride_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-05/Keat_Hong_Pride_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Punggol Edge,HS-BTO,30 May 2012,2Q 2016,non-m,688,,"<a href=""/hdb-brochures/bto-launch-2012-05/PunggolEdge_WaterwaySunDew_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-05/Punggol_Edge_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Waterway SunDew,HS-BTO,30 May 2012,2Q 2016,non-m,837,,"<a href=""/hdb-brochures/bto-launch-2012-05/PunggolEdge_WaterwaySunDew_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-05/Waterway_SunDew_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
